Date,Price,Open,High,Low,Change %
"Jul 31, 2020",1975.90,1960.51,1980.45,1955.40,0.0079
"Jul 30, 2020",1960.50,1970.90,1971.87,1939.67,-0.0052
"Jul 29, 2020",1970.73,1959.60,1980.80,1944.97,0.0057
"Jul 28, 2020",1959.51,1942.64,1981.22,1907.70,0.0088
"Jul 27, 2020",1942.42,1899.99,1945.71,1899.73,0.0215
"Jul 24, 2020",1901.46,1887.34,1906.54,1881.56,0.0074
"Jul 23, 2020",1887.44,1872.39,1898.40,1862.80,0.0082
"Jul 22, 2020",1872.07,1842.20,1872.64,1840.75,0.0162
"Jul 21, 2020",1842.22,1815.89,1843.89,1815.57,0.0144
"Jul 20, 2020",1816.09,1809.58,1820.73,1805.60,0.0034
"Jul 17, 2020",1809.90,1797.30,1812.03,1795.11,0.0071
"Jul 16, 2020",1797.05,1811.90,1813.74,1795.02,-0.0082
"Jul 15, 2020",1811.90,1807.80,1814.79,1802.72,0.0023
"Jul 14, 2020",1807.79,1803.19,1811.03,1791.46,0.0024
"Jul 13, 2020",1803.39,1799.01,1813.45,1798.01,0.0025
"Jul 10, 2020",1798.90,1802.13,1810.76,1794.28,-0.0024
"Jul 09, 2020",1803.19,1811.30,1816.26,1795.82,-0.0042
"Jul 08, 2020",1810.78,1795.27,1818.13,1791.62,0.0086
"Jul 07, 2020",1795.26,1783.91,1797.59,1773.79,0.0064
"Jul 06, 2020",1783.90,1776.31,1787.09,1770.13,0.0050
"Jul 03, 2020",1775.05,1774.77,1777.43,1772.48,-0.0006
"Jul 02, 2020",1776.14,1769.60,1779.83,1757.68,0.0033
"Jul 01, 2020",1770.31,1781.60,1789.48,1759.27,-0.0064
"Jun 30, 2020",1781.67,1771.90,1786.02,1765.35,0.0053
"Jun 29, 2020",1772.28,1773.74,1775.72,1765.78,0.0005
"Jun 26, 2020",1771.47,1761.82,1772.12,1747.67,0.0055
"Jun 25, 2020",1761.81,1760.32,1769.04,1755.49,-0.0004
"Jun 24, 2020",1762.43,1768.99,1779.61,1760.80,-0.0029
"Jun 23, 2020",1767.54,1755.26,1771.25,1747.43,0.0069
"Jun 22, 2020",1755.44,1748.78,1763.42,1743.27,0.0068
"Jun 19, 2020",1743.61,1723.69,1745.36,1721.18,0.0120
"Jun 18, 2020",1722.99,1726.30,1737.17,1717.57,-0.0023
"Jun 17, 2020",1727.04,1727.71,1730.41,1713.22,-0.0002
"Jun 16, 2020",1727.46,1725.55,1733.12,1716.43,0.0011
"Jun 15, 2020",1725.53,1732.32,1734.53,1704.31,-0.0030
"Jun 12, 2020",1730.80,1728.34,1743.16,1722.57,0.0019
"Jun 11, 2020",1727.51,1737.01,1744.92,1721.58,-0.0055
"Jun 10, 2020",1737.10,1714.80,1740.06,1708.47,0.0131
"Jun 09, 2020",1714.57,1700.49,1721.04,1692.20,0.0098
"Jun 08, 2020",1697.96,1684.65,1700.90,1677.52,0.0072
"Jun 05, 2020",1685.83,1711.81,1717.25,1670.74,-0.0152
"Jun 04, 2020",1711.83,1699.89,1721.62,1696.90,0.0078
"Jun 03, 2020",1698.64,1728.10,1733.80,1689.54,-0.0170
"Jun 02, 2020",1727.96,1740.34,1745.26,1721.40,-0.0071
"Jun 01, 2020",1740.33,1738.05,1744.84,1727.26,0.0070
"May 29, 2020",1728.30,1721.70,1737.71,1712.53,0.0052
"May 28, 2020",1719.40,1709.04,1727.52,1707.11,0.0059
"May 27, 2020",1709.26,1712.47,1716.37,1693.82,-0.0019
"May 26, 2020",1712.45,1728.82,1736.07,1708.30,-0.0099
"May 25, 2020",1729.57,1734.61,1736.01,1721.45,-0.0037
"May 22, 2020",1736.07,1725.26,1740.07,1723.62,0.0056
"May 21, 2020",1726.33,1749.52,1751.01,1717.10,-0.0132
"May 20, 2020",1749.50,1745.92,1754.77,1741.89,0.0025
"May 19, 2020",1745.11,1732.31,1748.76,1725.66,0.0074
"May 18, 2020",1732.32,1743.01,1765.94,1727.20,-0.0061
"May 15, 2020",1743.00,1730.52,1752.13,1727.93,0.0071
"May 14, 2020",1730.65,1715.63,1737.41,1710.51,0.0085
"May 13, 2020",1715.99,1702.50,1719.02,1698.81,0.0078
"May 12, 2020",1702.72,1697.04,1711.79,1693.17,0.0032
"May 11, 2020",1697.35,1702.65,1712.64,1691.59,-0.0031
"May 08, 2020",1702.65,1717.46,1723.91,1701.06,-0.0089
"May 07, 2020",1717.94,1686.08,1723.06,1683.50,0.0190
"May 06, 2020",1685.89,1707.51,1709.34,1682.28,-0.0125
"May 05, 2020",1707.17,1700.82,1712.90,1691.45,0.0032
"May 04, 2020",1701.69,1699.00,1712.57,1691.84,0.0008
"May 01, 2020",1700.41,1685.95,1706.53,1670.06,0.0091
"Apr 30, 2020",1685.05,1712.27,1723.17,1680.64,-0.0160
"Apr 29, 2020",1712.39,1708.30,1717.76,1697.55,0.0022
"Apr 28, 2020",1708.64,1715.31,1716.04,1691.63,-0.0040
"Apr 27, 2020",1715.57,1726.15,1727.93,1705.68,-0.0080
"Apr 24, 2020",1729.43,1731.57,1737.44,1710.21,-0.0012
"Apr 23, 2020",1731.58,1713.56,1739.74,1706.26,0.0098
"Apr 22, 2020",1714.82,1687.10,1719.65,1680.09,0.0165
"Apr 21, 2020",1687.02,1694.11,1698.60,1661.39,-0.0042
"Apr 20, 2020",1694.11,1692.25,1703.46,1671.49,0.0056
"Apr 17, 2020",1684.69,1715.99,1719.12,1679.37,-0.0196
"Apr 16, 2020",1718.40,1716.46,1739.17,1707.88,0.0011
"Apr 15, 2020",1716.60,1728.80,1732.27,1707.71,-0.0076
"Apr 14, 2020",1729.70,1712.34,1747.85,1708.55,0.0090
"Apr 13, 2020",1714.32,1685.69,1723.88,1674.87,0.0145
"Apr 10, 2020",1689.90,1676.00,1697.50,1676.00,0.0035
"Apr 09, 2020",1684.07,1646.08,1691.17,1643.10,0.0228
"Apr 08, 2020",1646.52,1647.59,1657.69,1641.94,-0.0015
"Apr 07, 2020",1648.95,1663.03,1673.55,1641.89,-0.0085
"Apr 06, 2020",1663.00,1597.50,1669.97,1597.50,0.0275
"Apr 03, 2020",1618.45,1615.09,1626.07,1606.30,0.0029
"Apr 02, 2020",1613.79,1590.52,1621.15,1579.04,0.0118
"Apr 01, 2020",1595.05,1571.00,1603.41,1566.97,0.0151
"Mar 31, 2020",1571.31,1618.49,1626.27,1566.23,-0.0320
"Mar 30, 2020",1623.30,1622.00,1639.61,1608.72,-0.0001
"Mar 27, 2020",1623.50,1632.38,1637.86,1612.22,-0.0054
"Mar 26, 2020",1632.39,1617.25,1647.28,1595.84,0.0115
"Mar 25, 2020",1613.79,1628.19,1643.05,1587.20,-0.0051
"Mar 24, 2020",1622.03,1553.71,1638.72,1553.41,0.0439
"Mar 23, 2020",1553.81,1508.15,1561.48,1485.10,0.0371
"Mar 20, 2020",1498.24,1470.54,1516.25,1460.30,0.0185
"Mar 19, 2020",1471.00,1485.90,1501.05,1464.18,-0.0103
"Mar 18, 2020",1486.30,1527.70,1546.22,1472.86,-0.0277
"Mar 17, 2020",1528.57,1512.45,1553.26,1465.81,0.0092
"Mar 16, 2020",1514.61,1550.55,1573.49,1451.50,-0.0099
"Mar 13, 2020",1529.70,1576.95,1597.72,1506.86,-0.0300
"Mar 12, 2020",1577.08,1634.80,1650.47,1561.01,-0.0354
"Mar 11, 2020",1635.03,1649.69,1671.13,1632.97,-0.0087
"Mar 10, 2020",1649.36,1679.10,1680.53,1642.15,-0.0184
"Mar 09, 2020",1680.20,1694.40,1702.96,1657.74,0.0036
"Mar 06, 2020",1674.23,1670.58,1692.10,1648.12,0.0022
"Mar 05, 2020",1670.61,1635.91,1674.69,1635.07,0.0213
"Mar 04, 2020",1635.83,1639.76,1651.65,1632.06,-0.0024
"Mar 03, 2020",1639.77,1590.77,1649.55,1587.86,0.0308
"Mar 02, 2020",1590.73,1591.10,1611.03,1579.70,0.0035
"Feb 28, 2020",1585.13,1642.15,1649.48,1565.86,-0.0348
"Feb 27, 2020",1642.35,1640.55,1660.57,1635.65,0.0015
"Feb 26, 2020",1639.96,1635.37,1655.09,1625.79,0.0028
"Feb 25, 2020",1635.38,1660.72,1660.86,1629.10,-0.0153
"Feb 24, 2020",1660.72,1659.05,1689.11,1652.37,0.0104
"Feb 21, 2020",1643.70,1619.69,1649.15,1618.94,0.0148
"Feb 20, 2020",1619.70,1611.71,1623.79,1603.98,0.0050
"Feb 19, 2020",1611.64,1601.85,1613.04,1599.53,0.0061
"Feb 18, 2020",1601.92,1583.44,1605.45,1583.09,0.0132
"Feb 17, 2020",1581.10,1584.70,1584.81,1578.60,-0.0023
"Feb 14, 2020",1584.70,1576.30,1585.05,1573.12,0.0053
"Feb 13, 2020",1576.39,1565.62,1578.24,1565.53,0.0069
"Feb 12, 2020",1565.63,1567.73,1570.59,1561.80,-0.0013
"Feb 11, 2020",1567.71,1572.09,1574.17,1562.29,-0.0029
"Feb 10, 2020",1572.30,1570.29,1577.23,1568.01,0.0013
"Feb 07, 2020",1570.29,1566.86,1574.18,1562.39,0.0022
"Feb 06, 2020",1566.85,1556.95,1568.55,1552.46,0.0065
"Feb 05, 2020",1556.70,1552.56,1562.50,1547.40,0.0027
"Feb 04, 2020",1552.56,1576.40,1579.57,1549.14,-0.0152
"Feb 03, 2020",1576.45,1590.20,1591.84,1571.29,-0.0086
"Jan 31, 2020",1590.20,1574.18,1590.21,1570.84,0.0102
"Jan 30, 2020",1574.21,1577.09,1586.16,1572.65,-0.0018
"Jan 29, 2020",1577.12,1566.19,1578.04,1563.21,0.0069
"Jan 28, 2020",1566.24,1581.95,1583.27,1565.65,-0.0099
"Jan 27, 2020",1581.94,1580.10,1586.81,1575.81,0.0072
"Jan 24, 2020",1570.65,1563.30,1576.01,1556.42,0.0047
"Jan 23, 2020",1563.32,1558.93,1568.17,1551.68,0.0028
"Jan 22, 2020",1558.92,1558.03,1559.63,1550.08,0.0006
"Jan 21, 2020",1558.02,1560.94,1568.75,1546.41,-0.0023
"Jan 20, 2020",1561.58,1558.65,1563.00,1556.39,0.0032
"Jan 17, 2020",1556.61,1552.90,1561.45,1549.36,0.0025
"Jan 16, 2020",1552.79,1556.18,1558.19,1548.05,-0.0022
"Jan 15, 2020",1556.19,1546.40,1558.44,1546.11,0.0063
"Jan 14, 2020",1546.37,1548.31,1548.95,1536.12,-0.0012
"Jan 13, 2020",1548.30,1562.29,1562.30,1546.77,-0.0089
